claim_id,policy_id,date,claim_value,is_accepted,state,zip_code,street
d0a020f9-0344-4522-923f-9db3e580744c,e6ec03ab-df55-4f1b-9996-f8087dcac176,###2024-03-01###,9737.34,true,Maine,24031,044 Justina Manors
f36cdfd8-ed7f-4389-87b0-25f545859353,e6ec03ab-df55-4f1b-9996-f8087dcac176,###2023-08-01###,5305.21,true,Indiana,60869-7377,76161 Kirlin Causeway
3652f9bf-659f-4da8-9852-046413815494,e5efa532-4419-45da-a58c-0240da2b5de4,###2024-06-01###,3501.11,false,Kentucky,12312,98334 Jacobson Ranch
13de3470-6899-469f-8977-18dbc163547d,e5efa532-4419-45da-a58c-0240da2b5de4,###2024-04-01###,4685.67,false,South Dakota,00740-4018,5417 Jacobson Greens
114a940a-f314-4f61-83e0-9dafbe9ee2af,e5efa532-4419-45da-a58c-0240da2b5de4,###2024-05-01###,2838.0,false,Mississippi,77202-7516,22524 Kunde Spurs
a45b3ddd-365b-497f-9bcc-1baed9877dfe,e5efa532-4419-45da-a58c-0240da2b5de4,###2023-09-01###,4759.99,true,South Dakota,46696,830 Schuppe Road
3b817004-a7e8-463c-8f95-5fd765a68c65,e5efa532-4419-45da-a58c-0240da2b5de4,###2023-02-01###,7673.25,false,Florida,66041-5905,916 Brenna Mill
6f07b00f-e9dc-4d50-a31b-c5548b026cae,3f43e4b5-40a7-4936-86c5-bd5191a660b7,###2024-04-01###,3425.84,false,Rhode Island,18606-4660,48628 Lindgren Overpass
b48feb16-90a4-4de2-8a12-78dec7014469,da3332d8-5fc4-43a9-ac07-9aa970ca2cfb,###2023-01-01###,888.68,false,Arkansas,11116-3892,23982 Janiya Shores
1790b25f-4767-4c3b-b08d-7a784302484c,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2023-07-01###,7069.26,true,Montana,10076,4980 Lonie Union
6c5d38d7-9285-465d-9194-339a50f3c7e2,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2023-08-01###,8008.52,true,Ohio,94984,066 Matilde Mission
923fdedf-48a7-4512-ba4d-ce99644c7688,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2024-12-01###,6965.06,true,Arizona,85757,96654 Adrien Highway
9c529d5f-77a6-45f8-85d2-e53794eb23c8,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2023-09-01###,1457.73,false,Arkansas,99437,193 Howell Stream
130650ce-2c7d-41dd-b3c1-665695960902,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2024-07-01###,5342.33,true,Wisconsin,64054-7333,09729 Ollie Extension
e32d17b1-1733-4d1b-b87b-909f0a080acb,986254bb-45a3-4ec3-a0fa-9e40ac8a9270,###2024-01-01###,1927.91,true,Oregon,79050,1865 Selina Ferry
b212c4ac-5198-4bea-9953-c548b6f9510a,39fa50ff-d81f-4345-b988-1d9b85611179,###2024-11-01###,2960.91,true,Nevada,64613,7526 Metz Gardens
419070b2-e396-4530-bc6c-f910ff813f0c,39fa50ff-d81f-4345-b988-1d9b85611179,###2023-01-01###,5370.89,false,Oklahoma,50863-7538,765 Collier Mission
0b745cf4-e57a-490f-967d-fc14f5e25ef6,39fa50ff-d81f-4345-b988-1d9b85611179,###2024-12-01###,9279.09,false,Maryland,39919-0843,0650 Keyshawn Row
fd4ce0ab-3347-4e5a-bf21-8a25084fc967,39fa50ff-d81f-4345-b988-1d9b85611179,###2024-08-01###,4541.85,true,Vermont,94481-2201,204 Ledner Extension
898caf18-071c-47ac-a88c-a0f4eca42e35,39fa50ff-d81f-4345-b988-1d9b85611179,###2023-07-01###,8580.28,true,Iowa,46669-9572,886 Grant Corners
e4f68960-be2b-4446-8782-df2ccf4620ee,e736b18a-2d1e-4f18-b1cd-431fad2dd07d,###2023-01-01###,1089.17,true,Alabama,61374-1923,844 Schinner Mountain
b1f17e72-49bd-4a6e-92ac-697bcc4a85aa,e736b18a-2d1e-4f18-b1cd-431fad2dd07d,###2023-03-01###,8151.13,false,Idaho,66329-7402,066 Metz Loop
f67fb2ff-609b-477c-b3ce-78dc6ac316b7,e736b18a-2d1e-4f18-b1cd-431fad2dd07d,###2023-08-01###,4610.99,false,Illinois,52713-6094,5818 Jimmy Burg
089e8e79-0a98-44ae-9fa4-be6edbdfc09a,e736b18a-2d1e-4f18-b1cd-431fad2dd07d,###2024-09-01###,9781.76,false,Oregon,88875,9721 Arlo Meadow
364bcdca-038c-4592-a920-950b21c7805c,cabd19fc-9375-4208-bbab-58dbeea595c5,###2024-05-01###,6294.19,true,Kentucky,65810-7246,411 Jaron Shore
8e48a087-97f8-4bf9-a5ba-46b545a23687,cabd19fc-9375-4208-bbab-58dbeea595c5,###2023-12-01###,3454.31,true,Idaho,58841-8295,766 Tromp Grove
fe8c70cc-c341-4dc6-99b1-d09598637ed6,cabd19fc-9375-4208-bbab-58dbeea595c5,###2024-04-01###,2201.95,true,New Jersey,02118-2964,6578 Henriette Loaf
a0314f77-cd1d-42a5-92e6-53267f27384c,cabd19fc-9375-4208-bbab-58dbeea595c5,###2023-08-01###,1551.72,true,New York,22300,978 Lysanne Field
